title,gambar,videos,tipe
Apel,apel.png,apel.mp4,benda
Bedug,bedug.png,bedug.mp4,benda
Cicak,cicak.png,cicak.mp4,benda
Foto,foto.png,foto.mp4,benda
Gitar,gitar.png,gitar.mp4,benda
Jilbab,jilbab.png,jilbab.mp4,benda
Kambing,kambing.png,kambing.mp4,benda
Kursi,kursi.png,kursi.mp4,benda
Lilin,lilin.png,lilin.mp4,benda
Masjid,masjid.png,masjid.mp4,benda
Monyet,monyet.png,monyet.mp4,benda
Nanas,nanas.png,nanas.mp4,benda
Nyamuk,nyamuk.png,nyamuk.mp4,benda
Pohon,pohon.png,pohon.mp4,benda
Rumah,rumah.png,rumah.mp4,benda
Sekop,sekop.png,sekop.mp4,benda
Vespa,vespa.png,vespa.mp4,benda
Yoyo,yoyo.png,yoyo.mp4,benda
Zebra,zebra.png,zebra.mp4,benda
Speech Delay,speechdelay.png,speechdelay.mp4,materi
Terapi,terapi.png,terapi.mp4,materi
Penggunaan Aplikasi,aplikasi.png,aplikasi.mp4,materi
Bantuan,bantuan.png,bantuan.mp4,materi